"T_values","mu_mean","mu_std","gcc_mean","gcc_std"
0.03,0.0553185058120808,0.0222602874840292,0.7255,0.180808381680927
0.0492857142857143,0.0693396520546673,0.0243941198776295,0.698825,0.178818044497681
0.0685714285714286,0.0812647678041448,0.0282253873763382,0.64195,0.222536749916258
0.0878571428571429,0.0949540330019124,0.0341804594854002,0.63715,0.203302051270106
0.107142857142857,0.102338202451206,0.0333486898162747,0.6319125,0.196544335433864
0.126428571428571,0.109592946533892,0.0429489915028127,0.602525,0.22143999244302
0.145714285714286,0.107384510164693,0.038002024404793,0.6326625,0.196141188087961
0.165,0.112343889628715,0.0371970898098028,0.5649,0.1824043775846
0.184285714285714,0.129912788411417,0.0384417339144249,0.485025,0.187805513123267
0.203571428571429,0.124737232035039,0.0422882082596385,0.4949625,0.195178882167882
0.222857142857143,0.132730955392988,0.0468807618019305,0.465925,0.200282760559203
0.242142857142857,0.133733615324748,0.045632707878463,0.4646875,0.204734195924893
0.261428571428571,0.12994853368508,0.0495575338235141,0.4219625,0.190241182283723
0.280714285714286,0.139968148903649,0.0405822799697277,0.387625,0.177773741493385
0.3,0.145759584357764,0.043072880214181,0.3391,0.172491173870697
0.3,0.140611156106317,0.0471774484231851,0.3425375,0.191830089887056
0.347368421052632,0.139525139643585,0.0467213494692788,0.32285,0.161251599933187
0.394736842105263,0.149154804657032,0.0424390416321266,0.228625,0.133484117008994
0.442105263157895,0.136947783352888,0.0350265895877913,0.2133125,0.122538301297228
0.489473684210526,0.123433650251969,0.0346712872371509,0.186275,0.088826808446179
0.536842105263158,0.120400852521075,0.0329630256591437,0.1539625,0.0851612682733416
0.58421052631579,0.0901877553030242,0.034740285819639,0.1692625,0.0938120587846665
0.631578947368421,0.0677410176096278,0.036245294944136,0.15355,0.0909857270765342
0.678947368421053,0.0477051844837262,0.0341171537378296,0.141825,0.0746434181520228
0.726315789473684,0.0306223816923299,0.0296283405191709,0.1232125,0.0727998285138473
0.773684210526316,0.00490231844947299,0.0330332565640752,0.1186125,0.0680771144560213
0.821052631578947,-0.0192594049474087,0.0281338728596079,0.11535,0.0627311119386807
0.868421052631579,-0.0443066454099795,0.0274367835258198,0.1093625,0.0533161679589108
0.91578947368421,-0.0707355884391633,0.0261978428269307,0.0968375,0.0588126060176071
0.963157894736842,-0.0973695444003844,0.0241634438642888,0.0924875,0.0475857636805725
1.01052631578947,-0.122644501312193,0.0218579483656309,0.087325,0.0432211782944954
1.05789473684211,-0.151333620022714,0.0233317004796775,0.0944375,0.0535262490320687
1.10526315789474,-0.180074965132429,0.0260811850103956,0.088175,0.047728073367168
1.15263157894737,-0.214126777571214,0.0184576341989275,0.0885,0.0429241308899578
1.2,-0.238687489180875,0.0192181690532193,0.0783,0.03322779071725
1.2,-0.242871554258236,0.0217877878427441,0.088775,0.0438856324345134
1.82857142857143,-0.648742878827206,0.0167872406642757,0.071125,0.0244158980164434
2.45714285714286,-1.06945292048148,0.0171880317880852,0.0694625,0.0204901604975459
3.08571428571429,-1.49584906213653,0.0152844757953192,0.0644875,0.0207986086133944
3.71428571428571,-1.92684596590521,0.0177074651455035,0.0685625,0.0264497822488704
4.34285714285714,-2.3590285668025,0.0156630309772589,0.0598,0.019910813803788
4.97142857142857,-2.79067537490343,0.0154210827383568,0.0591125,0.0165636430821211
5.6,-3.22141291829673,0.0171657488163475,0.06305,0.0218127241927472
6.22857142857143,-3.6551322299684,0.0136671774244835,0.062775,0.0197362193550431
6.85714285714286,-4.09102984619403,0.0136669768959085,0.0608625,0.0192095333333758
7.48571428571429,-4.52596708582236,0.0152693657977311,0.0616,0.0194308901924458
8.11428571428572,-4.96191051037433,0.0171912885612674,0.066375,0.0225458042912476
8.74285714285714,-5.39226501972806,0.0128910334221588,0.062275,0.0162153037575424
9.37142857142857,-5.82982013239945,0.0147561206286932,0.0590875,0.0162435527619149
10,-6.2628437068368,0.0152538383568588,0.0633875,0.0187916583635035
