"T_values","mu_mean","mu_std","gcc_mean","gcc_std"
0.03,0.0607728860010647,0.0252660970240926,0.765966666666667,0.163434365890479
0.0492857142857143,0.061301164560189,0.0234874361267281,0.754866666666667,0.192305384530804
0.0685714285714286,0.0772093892760512,0.0317719651930296,0.714733333333333,0.188391546287629
0.0878571428571429,0.0948999084578849,0.029266092957949,0.622333333333333,0.169345460693434
0.107142857142857,0.0927218050742827,0.0406816730535632,0.6404,0.209234334889262
0.126428571428571,0.114504086888332,0.0334303322574621,0.560533333333333,0.213966599606402
0.145714285714286,0.107855017398882,0.0347647263891471,0.579733333333333,0.22735540055367
0.165,0.10741308110116,0.0443664459759363,0.6254,0.196650679264457
0.184285714285714,0.117104524902374,0.0439284093690621,0.511733333333333,0.224747510949868
0.203571428571429,0.117223174399595,0.0382479895371664,0.583266666666667,0.199531163123637
0.222857142857143,0.130391483002514,0.0379055391657757,0.435033333333333,0.178210352912106
0.242142857142857,0.154973142841942,0.0404624705169955,0.358033333333333,0.150098010125645
0.261428571428571,0.143737044081572,0.0429801613134915,0.394766666666667,0.173130344226407
0.280714285714286,0.1464999419479,0.0423846808955189,0.3709,0.167962506078815
0.3,0.148519940588253,0.043036937436119,0.359933333333333,0.157531372536817
0.3,0.152010359107039,0.0386110542666232,0.284933333333333,0.134274791156903
0.347368421052632,0.155874060556278,0.0452922415429494,0.260433333333333,0.124761201786711
0.394736842105263,0.144097678143378,0.044169276793402,0.2487,0.131898903292086
0.442105263157895,0.135075873693854,0.0341654394685554,0.194433333333333,0.0960261039701089
0.489473684210526,0.135436389172907,0.0314928625874392,0.193666666666667,0.105967247162811
0.536842105263158,0.115962129835441,0.0381635563389124,0.161333333333333,0.0867025566712616
0.58421052631579,0.0897476905753677,0.0357893431406067,0.158966666666667,0.0919529427379076
0.631578947368421,0.0760914143283215,0.0328381066429626,0.141666666666667,0.0871998629124726
0.678947368421053,0.0454555381201206,0.0332765601155207,0.1563,0.0909551424111605
0.726315789473684,0.0280378164262521,0.0311344400123072,0.126,0.0698782191905416
0.773684210526316,0.00950337007097111,0.0309917130871553,0.103933333333333,0.0614794237141979
0.821052631578947,-0.0113253551598793,0.0264648587112298,0.0925,0.053381354099697
0.868421052631579,-0.0467143082973947,0.0265033953735472,0.113166666666667,0.0751481678182295
0.91578947368421,-0.0608527974567332,0.0221738184880978,0.0853666666666667,0.0574170966568821
0.963157894736842,-0.0983660268854976,0.0241988148184498,0.0891333333333333,0.0401675227647595
1.01052631578947,-0.117961249128906,0.0209089721258341,0.0867333333333333,0.0359270653266935
1.05789473684211,-0.149877354064113,0.0199976818410661,0.0962333333333333,0.0454697196197519
1.10526315789474,-0.177490406216969,0.0180920317271235,0.0971333333333333,0.0418978506018802
1.15263157894737,-0.208110824504885,0.0188340301400486,0.0797666666666667,0.0391466591108389
1.2,-0.235344444297625,0.0200163180837689,0.0854333333333333,0.0324809581705676
1.2,-0.236961793012675,0.0211931634018006,0.0885,0.0421325903833813
2.17777777777778,-0.879391937071751,0.0173989975474239,0.0622,0.0287358960907422
3.15555555555556,-1.54605621370272,0.0168196941954264,0.0649333333333333,0.0220999817964246
4.13333333333333,-2.21192951166065,0.0145388550119919,0.0587333333333333,0.011386420627776
5.11111111111111,-2.88333888693519,0.017863189658405,0.0598666666666667,0.0216233164915087
6.08888888888889,-3.56152675652808,0.018015031769426,0.0613,0.0215664970058526
7.06666666666667,-4.2291057766261,0.0143933614861356,0.0591,0.0203102657922471
8.04444444444444,-4.91445143837424,0.0156311444730131,0.0613333333333333,0.0223642777558371
9.02222222222222,-5.58464347401709,0.0133646368529186,0.0688333333333333,0.0266083773861999
10,-6.26734557888968,0.00984138212481824,0.0655333333333333,0.020947773041598
