"beta","avg_frac_inf","std_frac_inf","avg_frac_recov","std_frac_recov"
0.05,0.0164450557848082,0.00200304668017647,0.0018951551276173,0.000768484847715896
0.1,0.0236130215497478,0.00347261580935529,0.00204799021855418,0.000758993110311479
0.2,0.0372611951704111,0.00396242626932246,0.00178817056396149,0.000950776769982931
0.25,0.0406235671710225,0.00415822261270485,0.00252177900045851,0.000787278502712984
0.5,0.0616842427021244,0.0046396429779319,0.00215497478221,0.00092605697632465
1,0.0896072138162922,0.00502365976921796,0.00233837689133425,0.000903872750074581
