"beta","avg_frac_inf","std_frac_inf","avg_frac_recov","std_frac_recov"
0.05,0.0151153904936573,0.000386739328536834,0.00206327372764787,0.000107135034283842
0.1,0.0207397218401345,0.000531114737141056,0.00212440776402262,0.000181924902727604
0.2,0.027571450405013,0.000969958020562068,0.00194100565489836,0.000169834626807913
0.25,0.031682714351215,0.000814092701776602,0.00194100565489836,0.000141932197410609
0.5,0.0416322787712059,0.000905715509887719,0.00200213969127312,0.000138135915747635
1,0.0550511997554639,0.00123831227950595,0.00184930460033624,0.000154642613065249
