"beta","avg_frac_inf","std_frac_inf","avg_frac_recov","std_frac_recov"
0.05,0.0369047619047619,0.00292468779096885,0.00205357142857143,0.000858322259197183
0.1,0.0560863095238095,0.00464013771090799,0.00211309523809524,0.0007945696309502
0.2,0.0839136904761905,0.00677801625076864,0.00181547619047619,0.000844872316145338
0.25,0.0940029761904762,0.00554831729847825,0.00196428571428571,0.000912650072492491
0.5,0.130059523809524,0.00717389858041846,0.00211309523809524,0.000884608863126804
1,0.158318452380952,0.00822127979622407,0.00209821428571429,0.0009092552061487
