"beta","avg_frac_inf","std_frac_inf","avg_frac_recov","std_frac_recov"
0.05,0.0343420449335167,0.000856332822450828,0.00213969127311631,0.000166457474816463
0.1,0.0536756839370319,0.00142316443498193,0.00212440776402262,0.000175157834407551
0.2,0.0711600183402109,0.001375058994026,0.00180345407305517,0.000128059843747917
0.25,0.0831117224514749,0.0012884241667044,0.00204799021855418,0.000142017297166877
0.5,0.102720464618676,0.00144749964689718,0.00218554180039737,0.000202301302154755
1,0.126134800550206,0.00186113986767936,0.00203270670946049,0.000176805553479206
